"","","","Round 1","","","Totals","","","","","Shooting","","","Per Game","","","","Advanced","","",""
"Rk","Pk","Tm","Player","College","Yrs","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP"
"1","1","MIN","Anthony Edwards","Georgia","1","25","675","348","82","54",".379",".324",".804","27.0","13.9","3.3","2.2","-0.4","-.026","-5.4","-0.6"
"2","2","GSW","James Wiseman","Memphis","1","20","419","243","122","14",".503",".409",".623","21.0","12.2","6.1","0.7","0.5",".060","-4.1","-0.2"
"3","3","CHO","LaMelo Ball","","1","26","701","373","150","159",".438",".359",".791","27.0","14.3","5.8","6.1","1.7",".120","3.0","0.9"
"4","4","CHI","Patrick Williams","Florida State","1","23","629","237","101","24",".466",".396",".800","27.3","10.3","4.4","1.0","0.6",".044","-4.1","-0.3"
"5","5","CLE","Isaac Okoro","Auburn","1","21","709","167","48","39",".401",".276",".674","33.8","8.0","2.3","1.9","0.1",".008","-5.4","-0.6"
"6","6","ATL","Onyeka Okongwu","USC","1","7","73","21","21","2",".500","",".375","10.4","3.0","3.0","0.3","0.1",".052","-4.4","0.0"
"7","7","DET","Killian Hayes","","1","7","148","32","8","25",".277",".250",".500","21.1","4.6","1.1","3.6","-0.5","-.177","-13.6","-0.4"
"8","8","NYK","Obi Toppin","Dayton","1","16","187","73","40","8",".446",".276",".700","11.7","4.6","2.5","0.5","0.2",".053","-2.1","0.0"
"9","9","WAS","Deni Avdija","","1","18","413","126","82","33",".449",".383",".538","22.9","7.0","4.6","1.8","0.5",".057","-2.4","0.0"
"10","10","PHO","Jalen Smith","Maryland","1","7","48","14","10","2",".353",".286",".000","6.9","2.0","1.4","0.3","0.0",".002","-4.0","0.0"
"11","11","SAS","Devin Vassell","Florida State","1","24","432","140","81","25",".408",".407",".857","18.0","5.8","3.4","1.0","0.9",".103","0.3","0.3"
"12","12","SAC","Tyrese Haliburton","Iowa State","1","22","646","264","79","117",".495",".455",".867","29.4","12.0","3.6","5.3","1.7",".129","2.8","0.8"
"13","13","NOP","Kira Lewis Jr.","Alabama","1","13","150","69","10","20",".410",".375",".722","11.5","5.3","0.8","1.5","0.2",".065","-4.2","-0.1"
"14","14","BOS","Aaron Nesmith","Vanderbilt","1","10","117","33","15","5",".324",".310","","11.7","3.3","1.5","0.5","-0.1","-.053","-9.3","-0.2"
"15","15","ORL","Cole Anthony","UNC","1","25","667","275","111","94",".375",".325",".836","26.7","11.0","4.4","3.8","0.0","-.002","-4.1","-0.4"
"16","16","POR","Isaiah Stewart","Washington","1","23","412","127","122","15",".535",".333",".667","17.9","5.5","5.3","0.7","1.0",".119","-2.7","-0.1"
"17","17","MIN","Aleksej Pokusevski","","1","17","296","56","60","21",".247",".179","","17.4","3.3","3.5","1.2","-0.8","-.129","-7.2","-0.4"
"18","18","DAL","Josh Green","Arizona","1","17","212","42","39","10",".472",".167",".545","12.5","2.5","2.3","0.6","0.0",".008","-5.2","-0.2"
"19","19","BRK","Saddiq Bey","Villanova","1","23","432","182","72","16",".375",".376",".789","18.8","7.9","3.1","0.7","0.4",".043","-2.7","-0.1"
"20","20","MIA","Precious Achiuwa","Memphis","1","25","374","160","103","17",".589","",".540","15.0","6.4","4.1","0.7","0.8",".107","-3.0","-0.1"
"21","21","PHI","Tyrese Maxey","Kentucky","1","25","437","221","51","45",".459",".294",".857","17.5","8.8","2.0","1.8","0.7",".079","-2.2","0.0"
"22","22","DEN","Zeke Nnaji","Arizona","1","11","42","23","6","0",".529",".556","","3.8","2.1","0.5","0.0","0.1",".161","0.2","0.0"
"23","23","NYK","Leandro Bolmaro","","","","","","","","","","","","","","","","","",""
"24","24","MIL","R.J. Hampton","","1","17","109","29","28","8",".444",".500","1.000","6.4","1.7","1.6","0.5","0.1",".045","-2.9","0.0"
"25","25","OKC","Immanuel Quickley","Kentucky","1","22","419","259","51","60",".402",".358",".934","19.0","11.8","2.3","2.7","1.2",".136","1.9","0.4"
"26","26","BOS","Payton Pritchard","Oregon","1","18","380","151","45","41",".495",".469",".917","21.1","8.4","2.5","2.3","0.9",".111","-0.3","0.2"
"27","27","UTA","Udoka Azubuike","Kansas","1","12","49","12","13","0",".571","",".667","4.1","1.0","1.1","0.0","0.1",".111","-4.3","0.0"
"28","28","LAL","Jaden McDaniels","Washington","1","19","333","98","66","19",".396",".360",".364","17.5","5.2","3.5","1.0","0.1",".012","-4.9","-0.2"
"29","29","TOR","Malachi Flynn","San Diego State","1","13","106","29","9","16",".282",".217",".500","8.2","2.2","0.7","1.2","-0.1","-.052","-8.1","-0.2"
"30","30","BOS","Desmond Bane","TCU","1","20","456","205","53","32",".484",".482",".824","22.8","10.3","2.7","1.6","0.8",".087","-1.5","0.1"
"","","","Round 2","","","Totals","","","","","Shooting","","","Per Game","","","","Advanced","","",""
"Rk","Pk","Tm","Player","College","Yrs","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP"
"31","31","DAL","Tyrell Terry","Stanford","1","11","56","11","6","6",".313",".000",".333","5.1","1.0","0.5","0.5","-0.1","-.064","-5.5","-0.1"
"32","32","CHO","Vernon Carey Jr.","Duke","1","3","6","3","3","1",".333",".000",".500","2.0","1.0","1.0","0.3","0.0",".199","7.4","0.0"
"33","33","MIN","Daniel Oturu","Minnesota","1","10","42","20","14","4",".600",".000","1.000","4.2","2.0","1.4","0.4","0.2",".215","0.5","0.0"
"34","34","PHI","Théo Maledon","","1","21","476","158","55","60",".397",".366",".632","22.7","7.5","2.6","2.9","0.0","-.001","-5.5","-0.4"
"35","35","SAC","Xavier Tillman Sr.","Michigan State","1","15","322","119","73","26",".531",".235",".786","21.5","7.9","4.9","1.7","0.9",".133","-0.7","0.1"
"36","36","PHI","Tyler Bey","Colorado","1","4","13","6","3","0",".400","",".500","3.3","1.5","0.8","0.0","0.0",".060","-4.5","0.0"
"37","37","WAS","Vit Krejci","","","","","","","","","","","","","","","","","",""
"38","38","UTA","Saben Lee","Vanderbilt","1","8","70","18","3","8",".357",".000",".800","8.8","2.3","0.4","1.0","0.0",".009","-5.5","-0.1"
"39","39","NOP","Elijah Hughes","Syracuse","1","6","27","16","4","3",".333",".300",".750","4.5","2.7","0.7","0.5","0.0","-.059","-4.5","0.0"
"40","40","MEM","Robert Woodard","Mississippi State","1","6","17","13","8","0",".545",".333",".000","2.8","2.2","1.3","0.0","0.0",".015","-2.0","0.0"
"41","41","SAS","Tre Jones","Duke","1","9","27","18","4","1",".500","1.000","1.000","3.0","2.0","0.4","0.1","0.1",".151","-1.5","0.0"
"42","42","NOP","Nick Richards","Kentucky","1","8","23","11","6","0",".500","",".833","2.9","1.4","0.8","0.0","0.1",".144","-5.7","0.0"
"43","43","SAC","Jahmi'us Ramsey","Texas Tech","1","4","16","5","4","1",".500",".333","","4.0","1.3","1.0","0.3","0.0",".025","-3.9","0.0"
"44","44","CHI","Marko Simonovic","","","","","","","","","","","","","","","","","",""
"45","45","MIL","Jordan Nwora","Louisville","1","10","82","51","15","0",".459",".500",".900","8.2","5.1","1.5","0.0","0.0",".029","-5.4","-0.1"
"46","46","POR","CJ Elleby","Washington State","1","10","84","36","12","3",".520",".267",".667","8.4","3.6","1.2","0.3","0.2",".130","-1.2","0.0"
"47","47","BOS","Yam Madar","","","","","","","","","","","","","","","","","",""
"48","48","GSW","Nico Mannion","Arizona","1","6","36","9","8","12",".231",".222",".250","6.0","1.5","1.3","2.0","0.0","-.010","-4.7","0.0"
"49","49","PHI","Isaiah Joe","Arkansas","1","13","196","74","18","13",".397",".388","1.000","15.1","5.7","1.4","1.0","0.4",".098","-2.1","0.0"
"50","50","ATL","Skylar Mays","LSU","1","6","15","2","2","1",".000",".000","1.000","2.5","0.3","0.3","0.2","-0.1","-.230","-15.3","-0.1"
"51","51","GSW","Justinian Jessup","Boise State","","","","","","","","","","","","","","","","",""
"52","52","SAC","Kenyon Martin Jr.","","1","7","69","23","19","4",".370",".250",".400","9.9","3.3","2.7","0.6","0.0","-.021","-6.5","-0.1"
"53","53","OKC","Cassius Winston","Michigan State","1","6","44","13","4","6",".400",".429","1.000","7.3","2.2","0.7","1.0","0.1",".078","-4.0","0.0"
"54","54","IND","Cassius Stanley","Duke","1","8","23","9","3","0",".286",".500",".800","2.9","1.1","0.4","0.0","0.0",".042","-7.9","0.0"
"55","55","BRK","Jay Scrubb","John A. Logan College","","","","","","","","","","","","","","","","",""
"56","56","CHO","Grant Riller","College of Charleston","","","","","","","","","","","","","","","","",""
"57","57","LAC","Reggie Perry","Mississippi State","1","14","147","50","51","12",".412",".167",".667","10.5","3.6","3.6","0.9","0.1",".019","-6.8","-0.2"
"58","58","PHI","Paul Reed","DePaul","1","5","55","18","10","3",".409",".000","","11.0","3.6","2.0","0.6","-0.1","-.046","-8.1","-0.1"
"59","59","TOR","Jalen Harris","Nevada","1","2","4","0","1","0","","","","2.0","0.0","0.5","0.0","0.0","-.204","-21.2","0.0"
"60","60","NOP","Sam Merrill","Utah State University","1","9","55","14","10","10",".400",".500","1.000","6.1","1.6","1.1","1.1","0.2",".146","0.3","0.0"